timestamp,AAVE,ADA,BTC,DOGE,ETH,SOL
2022-09-06 21:00:00+00:00,0,1,0,0,0,1
2022-09-09 03:00:00+00:00,1,1,0,0,0,1
2022-09-09 09:00:00+00:00,1,1,1,0,0,1
2022-09-09 15:00:00+00:00,1,1,1,1,0,1
2022-09-11 18:00:00+00:00,1,1,1,1,0,1
2022-09-12 12:00:00+00:00,1,1,1,1,0,1
2022-09-13 15:00:00+00:00,1,1,1,1,0,1
2022-09-13 21:00:00+00:00,1,1,1,1,0,1
2022-09-15 00:00:00+00:00,1,1,0,1,0,1
2022-09-15 21:00:00+00:00,1,1,0,1,0,0
2022-09-16 03:00:00+00:00,1,0,0,1,0,0
2022-09-16 15:00:00+00:00,0,0,0,1,0,0
2022-09-23 21:00:00+00:00,0,0,0,1,0,0
2022-09-24 06:00:00+00:00,0,0,0,1,0,1
2022-09-26 00:00:00+00:00,0,0,0,1,0,1
2022-09-27 15:00:00+00:00,0,0,1,1,0,1
2022-09-27 18:00:00+00:00,0,0,1,1,0,1
2022-09-30 12:00:00+00:00,0,0,1,1,0,1
2022-10-01 12:00:00+00:00,0,0,0,1,0,1
2022-10-01 21:00:00+00:00,0,0,0,1,0,0
2022-10-04 15:00:00+00:00,1,0,0,1,0,0
2022-10-05 00:00:00+00:00,1,0,1,1,0,0
2022-10-05 15:00:00+00:00,1,0,1,1,0,0
2022-10-06 03:00:00+00:00,1,0,1,1,0,1
2022-10-07 15:00:00+00:00,1,0,1,1,0,1
2022-10-09 00:00:00+00:00,1,0,0,1,0,1
2022-10-13 12:00:00+00:00,1,0,0,1,0,0
2022-10-17 15:00:00+00:00,0,0,1,1,0,0
2022-10-18 06:00:00+00:00,1,0,1,1,0,0
2022-10-18 21:00:00+00:00,1,0,1,1,0,0
2022-10-20 03:00:00+00:00,1,0,1,1,0,0
2022-10-21 09:00:00+00:00,1,0,0,1,0,0
2022-10-24 00:00:00+00:00,1,0,0,0,1,0
2022-10-25 18:00:00+00:00,1,1,1,0,1,1
2022-10-25 21:00:00+00:00,1,1,1,0,1,1
2022-10-26 18:00:00+00:00,1,1,1,0,1,1
2022-10-27 21:00:00+00:00,1,1,1,0,1,1
2022-10-29 06:00:00+00:00,1,1,1,0,1,1
2022-10-31 12:00:00+00:00,1,1,0,0,1,1
2022-10-31 15:00:00+00:00,1,1,0,0,1,1
2022-11-03 00:00:00+00:00,0,1,0,0,1,1
2022-11-05 06:00:00+00:00,0,1,1,0,1,0
2022-11-05 15:00:00+00:00,0,1,1,0,1,1
2022-11-05 18:00:00+00:00,0,1,1,0,1,1
2022-11-07 00:00:00+00:00,0,1,1,0,1,1
2022-11-07 12:00:00+00:00,0,1,1,0,1,1
2022-11-08 03:00:00+00:00,0,1,0,0,1,1
2022-11-08 21:00:00+00:00,0,1,0,0,1,0
2022-11-09 12:00:00+00:00,0,1,0,0,1,0
2022-11-09 18:00:00+00:00,0,1,0,0,1,0
2022-11-12 06:00:00+00:00,0,0,0,0,1,0
2022-11-23 06:00:00+00:00,0,0,0,1,0,0
2022-11-23 09:00:00+00:00,0,0,1,1,0,0
2022-11-24 15:00:00+00:00,0,0,1,1,0,1
2022-11-25 12:00:00+00:00,0,0,1,1,0,1
2022-11-27 00:00:00+00:00,1,0,1,1,0,1
2022-11-28 03:00:00+00:00,1,0,1,1,0,1
2022-11-28 09:00:00+00:00,1,0,1,1,0,1
2022-11-29 09:00:00+00:00,1,0,0,1,0,1
2022-11-30 06:00:00+00:00,1,0,0,1,0,1
2022-11-30 15:00:00+00:00,1,0,1,1,0,1
2022-12-01 12:00:00+00:00,1,1,1,1,0,1
2022-12-01 21:00:00+00:00,1,1,1,1,0,1
2022-12-03 18:00:00+00:00,1,1,1,0,0,1
2022-12-05 09:00:00+00:00,1,1,0,0,1,1
2022-12-05 18:00:00+00:00,1,1,0,0,1,1
2022-12-09 06:00:00+00:00,1,1,0,0,1,1
2022-12-12 03:00:00+00:00,1,1,0,0,1,0
2022-12-13 18:00:00+00:00,1,1,1,0,1,0
2022-12-14 15:00:00+00:00,1,1,1,0,1,1
2022-12-14 21:00:00+00:00,1,1,1,0,1,1
2022-12-16 09:00:00+00:00,1,1,1,0,1,1
2022-12-16 12:00:00+00:00,1,1,0,0,1,1
2022-12-17 06:00:00+00:00,1,0,0,0,1,1
2022-12-17 15:00:00+00:00,1,0,0,0,1,0
2022-12-24 15:00:00+00:00,0,0,0,0,1,0
2023-01-02 09:00:00+00:00,0,0,0,0,0,0
2023-01-03 18:00:00+00:00,0,0,0,0,1,0
2023-01-04 06:00:00+00:00,1,1,0,0,1,0
2023-01-04 18:00:00+00:00,1,1,0,0,1,0
2023-01-04 21:00:00+00:00,1,1,1,0,1,0
2023-01-06 12:00:00+00:00,1,1,1,0,1,0
2023-01-06 21:00:00+00:00,1,1,1,1,0,0
2023-01-07 00:00:00+00:00,1,1,1,1,0,0
2023-01-07 06:00:00+00:00,1,1,1,1,0,0
2023-01-08 00:00:00+00:00,1,1,1,0,0,0
2023-01-09 03:00:00+00:00,1,1,1,0,0,0
2023-01-09 06:00:00+00:00,1,1,1,0,1,0
2023-01-09 09:00:00+00:00,1,1,1,1,1,0
2023-01-09 15:00:00+00:00,1,1,1,1,1,1
2023-01-11 15:00:00+00:00,1,1,1,1,1,1
2023-01-11 21:00:00+00:00,1,1,1,1,0,1
2023-01-12 06:00:00+00:00,1,1,1,1,1,0
2023-01-12 18:00:00+00:00,1,1,1,1,1,0
2023-01-14 00:00:00+00:00,1,1,1,1,1,0
2023-01-14 03:00:00+00:00,1,1,1,1,1,1
2023-01-16 09:00:00+00:00,1,1,1,1,1,1
2023-01-17 12:00:00+00:00,1,1,1,0,0,1
2023-01-19 15:00:00+00:00,1,1,1,0,0,0
2023-01-21 12:00:00+00:00,1,0,1,1,0,0
2023-01-22 00:00:00+00:00,1,0,1,1,0,1
2023-01-22 21:00:00+00:00,1,0,1,1,0,1
2023-01-25 00:00:00+00:00,1,0,1,1,0,0
2023-01-25 03:00:00+00:00,1,0,1,1,0,0
2023-01-27 18:00:00+00:00,1,0,1,0,0,0
2023-01-30 12:00:00+00:00,1,0,0,0,0,0
2023-01-31 18:00:00+00:00,0,0,0,1,0,0
